Georges#Hayek#19#male#UA,
What#Ever#60#male#LU,Fatima#Shalhoub#20#female#AUB
Elie#Sfeir#22#male#LAU,Ghinwa#Kerdy#21#female#AUB
Valentina#Tereshkova#83#female#UE,Mario#Fahel#18#male#UA
Valentina#Tereshkova#83#female#UE,William#Baakliny#19#male#UA
Valentina#Tereshkova#83#female#UE,Aya#Fares#24#female#LAU
Valentina#Tereshkova#83#female#UE,Safaa#Ahmad#18#female#LU
Valentina#Tereshkova#83#female#UE,Elie#Sfeir#18#male#UA
Valentina#Tereshkova#83#female#UE,Jackie#Chan#66#male#CU
Valentina#Tereshkova#83#female#UE,Bill#Gates#65#male#HU
Bill#Gates#65#male#HU,Jackie#Chan#66#male#CU
Bill#Gates#65#male#HU,Jackie#Chan#66#male#CU
Bill#Gates#65#male#HU,Jackie#Chan#66#male#CU
Bill#Gates#65#male#HU,Elia#Khoury#19#male#USJ
Bill#Gates#65#male#HU,Harry#Potter#17#male#HSWW
Bill#Gates#65#male#HU,Vin#Diesel#53#male#AUL
Bill#Gates#65#male#HU,Elon#Musk#49#male#UP
Elissa#Mrad#20#female#,Elon#Musk#49#male#UP
Fatima#Shalhoub#20#female#AUB,Harry#Potter#17#male#HSWW
Fatima#Shalhoub#20#female#AUB,Elon#Musk#49#male#UP
Fatima#Shalhoub#20#female#AUB,Elie#Sfeir#18#male#UA
Mark#Zuckerberg#36#male#HU,Will#Smith#52#male#AU
Elon#Musk#49#male#UP,Safaa#Ahmad#18#female#LU
Elon#Musk#49#male#UP,Elie#Sfeir#18#male#UA
Elon#Musk#49#male#UP,Harry#Potter#17#male#HSWW
Elon#Musk#49#male#UP,Charbel#Rmeily#19#male#UA
Elon#Musk#49#male#UP,Fatima#Shalhoub#19#female#UA
Will#Smith#52#male#AU,Jackie#Chan#66#male#CU
Will#Smith#52#male#AU,Vin#Diesel#53#male#AUL
Will#Smith#52#male#AU,Elie#Sfeir#18#male#UA
Will#Smith#52#male#AU,Harry#Potter#17#male#HSWW
Will#Smith#52#male#AU,Fatima#Shalhoub#19#female#UA
Jackie#Chan#66#male#CU,Elia#Khoury#19#male#USJ
Jackie#Chan#66#male#CU,Harry#Potter#17#male#HSWW
Jackie#Chan#66#male#CU,Vin#Diesel#53#male#AUL
Jackie#Chan#66#male#CU,Charbel#Rmeily#19#male#UA
Jackie#Chan#66#male#CU,Sara#Tannoury#17#female#UA
Jackie#Chan#66#male#CU,Ahmad#Taha#26#male#UA
Jackie#Chan#66#male#CU,Elie#Bader#22#male#USJ
Vin#Diesel#53#male#AUL,Harry#Potter#17#male#HSWW
Vin#Diesel#53#male#AUL,James#John#25#male#LAU
Vin#Diesel#53#male#AUL,Joseph#Sfeir#20#male#LU
Vin#Diesel#53#male#AUL,Nagham#Tohme#18#female#UA
Elia#Khoury#19#male#USJ,Elissa#Mrad#20#female#UA
